stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC5338,11904,28.67082,77.09294,Bhairon Enclave,11904
U00890,11905,28.675964,77.093988,Peera Garhi Depot,11905
U02470,11906,28.7064,77.2121,Indra Vihar,11906
U02491,11907,28.7093,77.2137,Mukharji Nagar Xing,11907
NS0188,11908,28.5480236,77.1251508,Mahipal Pur (NH-8),11908
U01011,11909,28.6192,77.1046,Tihar Jail,11909
U01356A,11910,28.6003,77.139767,S O Flats Carriappa Marg/Carriappa Vihar,11910
U01853,11911,28.574416,77.178621,Aradhana Enclave,11911
U01913,11912,28.57133,77.181727,RK Puram Sec 13,11912
U02128,11913,28.569634,77.195464,Nauroji Nagar,11913
U02304,11914,28.569786,77.204402,SJ Hospital,11914
U02595,11915,28.590114,77.220675,Lodhi Garden / Mousam Bhawan,11915
DC3653,11916,28.587958,77.233541,CGO Complex,11916
DC0066,11917,28.59155,77.233117,Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,11917
U99918,11918,28.515967,77.28055,E.S.I. Hospital,11918
U03294,11919,28.520517,77.277267,Okhla Phase 1,11919
DC3779,11920,28.523383,77.27525,Indra Kalyan Vihar,11920
DC0139,11921,28.52585,77.273517,Bank,11921
DC3706,11922,28.527783,77.2722,CRPF Camp / Crown Plaza,11922
DC3780,11923,28.52855,77.270367,CRPF Camp Okhla Phase 1,11923
U03213,11924,28.526817,77.2669,DDA Kalkaji Extn,11924
U03158,11925,28.5255,77.2607,Tughlaqabad Extn,11925
NS0375,11926,28.5254,77.2568,DDA Flats Kalkaji,11926
U03094,11927,28.523828,77.255068,Tara Apartments Terminal,11927
DC5119,11928,28.66935,77.21739,Aruna Asaf Ali Hospital,11928
DC5117,11929,28.673296,77.216756,MCD Store (Rajpur Road),11929
DC5116,11930,28.67902,77.21866,Rajpur Road Transport Deptt,11930
DC5112,11931,28.67785,77.22305,Exchange Store (Hill Road),11931
DC4799,11932,28.694534,77.222717,Purana Chandrawal,11932
DC4800,11933,28.696791,77.22551,Majnu Ka Tilla,11933
DC4591,11934,28.69771,77.22716,Majnu Ka Tila Outer Ring Road,11934
DC4593,11935,28.70253,77.22733,PWD Office / Aruna Nagar Ring Road,11935
DC4729,11936,28.711795,77.226367,Wazirabad Crossing GT Road,11936
U02633,11937,28.719164,77.223455,Gopal Pur / Jagat Pur Crossing,11937
U02532,11938,28.722037,77.216299,Gandhi Vihar,11938
U02314,11939,28.726629,77.203888,CV Raman ITI,11939
U02152,11940,28.728714,77.196368,Burari Crossing,11940
U01920,11941,28.732575,77.180985,Mukund Pur Crossing,11941
U01838,11942,28.734038,77.177008,Jahangir Puri Outer Ring Road,11942
DC3768,11943,28.735358,77.173505,Jag Jivan Ram Hospital,11943
U01696,11944,28.737484,77.165758,Bhalaswa Crossing,11944
U01602,11945,28.736833,77.159933,Mukarba Chowk ORR,11945
U01512,11946,28.730847096264,77.1499037813005,Haiderpur Metro Station,11946
U01452,11947,28.728354,77.14621,Badli Crossing,11947
DC4963,11948,28.724867,77.142388,PS Badli,11948
U01377,11949,28.721333,77.140683,Haider Pur Water Works,11949
U01363,11950,28.71616,77.13964,Pitam Pura BV Block,11950
U01353,11951,28.71348,77.13884,Uttri Pitam Pura,11951
U01311,11952,28.70992,77.13649,Pitampura RU Block,11952
U01329,11953,28.70771,77.13453,Pitampura Power House,11953
U00988,11954,28.693272,77.101689,West Enclave (ORR),11954
U00951,11955,28.689596,77.096796,Mangol Puri B Block (ORR),11955
DC4403,11956,28.681819,77.067554,Nangloi (Najafgarh Road),11956
DC4367,11957,28.672977,77.059807,Aman Puri,11957
DC4368,11958,28.671061,77.05817,Narain DharamKanta,11958
